signal_date,trade_date,session,direction,direction_zh,total_score,tw_score,intl_score,news_score,entry_price,exit_price,pnl_points,pnl_nts,win,status
1997-08-01,1997-08-04,day,0,觀望─,9,9,0,0,,,,,,sim_skip
1997-08-04,1997-08-05,day,1,做多▲,9,9,0,0,10078,9919,-159.4,-1644,False,simulated
1997-08-05,1997-08-06,day,1,做多▲,8,8,0,0,9992,9860,-131.8,-1368,False,simulated
1997-08-06,1997-08-07,day,0,觀望─,8,8,0,0,,,,,,sim_skip
1997-08-07,1997-08-08,day,0,觀望─,3,3,0,0,,,,,,sim_skip
1997-08-08,1997-08-11,day,0,觀望─,1,1,0,0,,,,,,sim_skip
1997-08-11,1997-08-12,day,0,觀望─,2,2,0,0,,,,,,sim_skip
1997-08-12,1997-08-13,day,0,觀望─,1,1,0,0,,,,,,sim_skip
1997-08-13,1997-08-14,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-08-14,1997-08-15,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-08-15,1997-08-19,day,0,觀望─,-5,-5,0,0,,,,,,sim_skip
1997-08-19,1997-08-20,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-08-20,1997-08-21,day,0,觀望─,-3,-3,0,0,,,,,,sim_skip
1997-08-21,1997-08-22,day,-1,做空▼,-3,-3,0,0,9991,10022,-30.3,-353,False,simulated
1997-08-22,1997-08-25,day,0,觀望─,3,3,0,0,,,,,,sim_skip
1997-08-25,1997-08-26,day,0,觀望─,1,1,0,0,,,,,,sim_skip
1997-08-26,1997-08-27,day,0,觀望─,7,7,0,0,,,,,,sim_skip
1997-08-27,1997-08-28,day,0,觀望─,7,7,0,0,,,,,,sim_skip
1997-08-28,1997-09-01,day,0,觀望─,-1,-1,0,0,,,,,,sim_skip
1997-09-01,1997-09-02,day,0,觀望─,-3,-3,0,0,,,,,,sim_skip
1997-09-02,1997-09-03,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-09-03,1997-09-04,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-09-04,1997-09-05,day,0,觀望─,-9,-9,0,0,,,,,,sim_skip
1997-09-05,1997-09-08,day,0,觀望─,-9,-9,0,0,,,,,,sim_skip
1997-09-08,1997-09-09,day,0,觀望─,-9,-9,0,0,,,,,,sim_skip
1997-09-09,1997-09-10,day,0,觀望─,-9,-9,0,0,,,,,,sim_skip
1997-09-10,1997-09-11,day,-1,做空▼,-9,-9,0,0,9038,9116,-78.2,-832,False,simulated
1997-09-11,1997-09-12,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-09-12,1997-09-15,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1997-09-15,1997-09-17,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-09-17,1997-09-18,day,0,觀望─,-5,-5,0,0,,,,,,sim_skip
1997-09-18,1997-09-19,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1997-09-19,1997-09-22,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-09-22,1997-09-23,day,0,觀望─,-8,-8,0,0,,,,,,sim_skip
1997-09-23,1997-09-24,day,0,觀望─,-4,-4,0,0,,,,,,sim_skip
1997-09-24,1997-09-25,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-09-25,1997-09-26,day,0,觀望─,-10,-10,0,0,,,,,,sim_skip
1997-09-26,1997-09-30,day,0,觀望─,-10,-10,0,0,,,,,,sim_skip
1997-09-30,1997-10-01,day,-1,做空▼,-10,-10,0,0,8736,8696,40.1,351,True,simulated
1997-10-01,1997-10-02,day,0,觀望─,-10,-10,0,0,,,,,,sim_skip
1997-10-02,1997-10-03,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-10-03,1997-10-06,day,0,觀望─,-9,-9,0,0,,,,,,sim_skip
1997-10-06,1997-10-07,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-10-07,1997-10-08,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-10-08,1997-10-09,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-10-09,1997-10-13,day,0,觀望─,-5,-5,0,0,,,,,,sim_skip
1997-10-13,1997-10-14,day,0,觀望─,-4,-4,0,0,,,,,,sim_skip
1997-10-14,1997-10-15,day,0,觀望─,-5,-5,0,0,,,,,,sim_skip
1997-10-15,1997-10-16,day,0,觀望─,-6,-6,0,0,,,,,,sim_skip
1997-10-16,1997-10-17,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-10-17,1997-10-20,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-10-20,1997-10-21,day,0,觀望─,-7,-7,0,0,,,,,,sim_skip
1997-10-21,1997-10-22,day,0,觀望─,-9,-9,0,0,,,,,,sim_skip
1997-10-22,1997-10-23,day,-1,做空▼,-9,-9,0,0,7739,7826,-87.5,-925,False,simulated
1997-10-23,1997-10-24,day,-1,做空▼,-8,-8,0,0,7535,7720,-185.0,-1900,False,simulated
1997-10-24,1997-10-27,day,-1,做空▼,-8,-8,0,0,7719,7663,55.3,503,True,simulated
